[2018-07-10] | [16:43:46:506] | [info] | sending to window
[2018-07-10] | [16:43:47:501] | [info] | sending to window
[2018-07-10] | [16:44:03:889] | [info] | sending to window
[2018-07-10] | [16:44:04:312] | [info] | sending to window
[2018-07-10] | [16:56:59:110] | [info] | Wrote PDF to C:\Users\cleggt\AppData\Local\Temp\print.pdf
[2018-07-10] | [16:57:55:408] | [info] | Wrote PDF to C:\Users\cleggt\AppData\Local\Temp\print.pdf
[2018-07-10] | [16:58:01:608] | [info] | Wrote PDF to C:\Users\cleggt\AppData\Local\Temp\print.pdf
[2018-07-10] | [16:58:08:577] | [info] | Wrote PDF to C:\Users\cleggt\AppData\Local\Temp\print.pdf
[2018-07-10] | [17:00:01:195] | [info] | Wrote PDF to C:\Users\cleggt\AppData\Local\Temp\print.pdf
[2018-07-16]  [11:20:16:637]  | [info] |  sending to window
[2018-07-17]  [09:20:48:547]  | [info] |  App starting...
[2018-07-17]  [09:20:48:552]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-17]  [09:20:50:091]  | [info] |  sending to window
[2018-07-17]  [10:12:33:165]  | [info] |  App starting...
[2018-07-17]  [10:12:33:169]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-17]  [10:12:35:633]  | [info] |  sending to window
[2018-07-17]  [10:13:57:753]  | [info] |  App starting...
[2018-07-17]  [10:13:57:759]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-17]  [10:13:59:339]  | [info] |  sending to window
[2018-07-19]  [11:35:13:399]  | [info] |  App starting...
[2018-07-19]  [11:35:13:406]  | [info] |  DEV ENVIRONMENT = undefined, true
[2018-07-19]  [11:35:15:303]  | [info] |  sending to window
[2018-07-19]  [12:09:20:535]  | [info] |  App starting...
[2018-07-19]  [12:09:20:548]  | [info] |  DEV ENVIRONMENT = undefined, true
[2018-07-19]  [12:09:22:484]  | [info] |  sending to window
[2018-07-19]  [16:41:28:862]  | [info] |  App starting...
[2018-07-19]  [16:41:28:869]  | [info] |  DEV ENVIRONMENT = undefined, true
[2018-07-19]  [16:41:30:814]  | [info] |  sending to window
[2018-07-19]  [16:46:39:377]  | [info] |  App starting...
[2018-07-19]  [16:46:39:383]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-19]  [16:46:41:876]  | [info] |  sending to window
[2018-07-19]  [16:52:37:338]  | [info] |  App starting...
[2018-07-19]  [16:52:37:348]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-19]  [16:52:42:200]  | [info] |  sending to window
[2018-07-19]  [16:52:57:318]  | [info] |  App starting...
[2018-07-19]  [16:52:57:323]  | [info] |  DEV ENVIRONMENT = undefined, true
[2018-07-19]  [16:52:59:126]  | [info] |  sending to window
